gene,t_stat,p_value,fdr,cohens_d,mean_ad,mean_control,abs_t_stat,abs_effect_size,mi_score,xgb_gain,elastic_net_coef,mrmr_score,stability_freq,vote_score,vote_count,quality_score
PHF14,-13.105627669751131,1.4270743998249023e-34,1.2407342843773824e-33,-1.0022941427655807,-0.35013630344613816,0.551434178249671,13.105627669751131,1.0022941427655807,0.10711362986466022,1.540947675704956,0.0,0.0,0.0,0.0,0,0.37509110268496637
POLB,-13.70519353464361,3.253121943276702e-38,3.740715451134189e-37,-0.9570620677724557,-0.3372194877602873,0.5310913187026115,13.70519353464361,0.9570620677724557,0.11789180148208556,3.581632137298584,0.0,0.0,0.0,0.0,0,0.37504319881774983
CHML,-12.985432378299434,8.365413573227086e-34,6.815934112194248e-33,-1.0104573671158847,-0.35243197633425716,0.5550496630769476,12.985432378299434,1.0104573671158847,0.0,0.0,0.0,0.0,0.0,0.0,0,0.37499797567901494
SCAMP1,-13.118506535785242,1.1479318968739704e-34,1.004163739062147e-33,-1.000499708853616,-0.3496302148306239,0.5506371327646075,13.118506535785242,1.000499708853616,0.1558386566422174,0.0,0.0,0.0,0.0,0.0,0,0.37499661600799694
NIT1,-13.116771349069957,1.1530685943667175e-34,1.0077738739381967e-33,-0.9999389446412166,-0.3494719535497575,0.5503878850330732,13.116771349069957,0.9999389446412166,0.10932263754311355,0.0,0.0,0.0,0.0,0.0,0,0.37491819475014265
UBL5,-13.204348635629206,3.052055692675606e-35,2.794730997118828e-34,-0.9923011593751488,-0.3473112855590775,0.5469850211592453,13.204348635629206,0.9923011593751488,0.14013179843532275,0.44504547119140625,0.0,0.0,0.0,0.0,0,0.3747941152208274
VIM,13.287825442169796,8.901364199821487e-36,8.49373958684687e-35,0.9856415883975443,0.34541959436248976,-0.5440057723060797,13.287825442169796,0.9856415883975443,0.13766725307241412,0.0,0.0,0.0,0.0,0.0,0,0.3747463335017734
BCAT1,-13.374944511956517,2.5325847176925834e-36,2.5277728067289675e-35,-0.9788911115226743,-0.3434947133690169,0.5409742524139256,13.374944511956517,0.9788911115226743,0.09934730030666739,0.530953049659729,0.0,0.0,0.0,0.0,0,0.3747191449270615
LIFR,13.209517304814591,2.7316624772552816e-35,2.5059488221953095e-34,0.9907088565343009,0.34685963918758583,-0.5462737174661664,13.209517304814591,0.9907088565343009,0.09642955299258316,0.0,0.0,0.0,0.0,0.0,0,0.3746571367140871
MAEA,-13.224323902129017,2.1149310269240572e-35,1.961814737893031e-34,-0.9882349936003593,-0.34615712510803975,0.5451673189854859,13.224323902129017,0.9882349936003593,0.10788864923456676,0.9495773315429688,0.0,0.0,0.0,0.0,0,0.37450184439447787
PCDHA5,-13.233743950292617,1.8149090673273545e-35,1.6961242884826149e-34,-0.9869795068192677,-0.345800217698641,0.5446052209051766,13.233743950292617,0.9869795068192677,0.08172134057340275,1.541585922241211,0.0,0.0,0.0,0.0,0,0.37443921039559525
GLI2,12.96281281633453,9.758272902447092e-34,7.924924478382785e-33,1.0064706573549071,0.3513121848637529,-0.5532860890537181,12.96281281633453,1.0064706573549071,0.0,0.0,0.0,0.0,0.0,0.0,0,0.37435315274979386
ARIH1,-13.092184635242486,1.422359744803282e-34,1.2377133925790372e-33,-0.9967278535153937,-0.3485647192345696,0.5489590700140187,13.092184635242486,0.9967278535153937,0.08872799652593999,0.33095884323120117,0.0,0.0,0.0,0.0,0,0.3743447680651498
ACSBG1,13.232359833883226,1.7965091101158882e-35,1.6805021019743842e-34,0.9859893975959861,0.3455185703498289,-0.5441616508645365,13.232359833883226,0.9859893975959861,0.12716946957214592,0.04292774200439453,0.0,0.0,0.0,0.0,0,0.37431500420402414
COG8,-12.995752781585388,5.730760773121384e-34,4.766560273043711e-33,-1.0026935875309886,-0.3502488884592915,0.5516114898383272,12.995752781585388,1.0026935875309886,0.11214117174337646,2.139626979827881,0.0,0.0,0.0,0.0,0,0.3742037715418499
SLN,-12.936493305363108,1.383360821284538e-33,1.1072433325774638e-32,-1.0071064963007,-0.351490953585954,0.5535676342189912,12.936493305363108,1.0071064963007,0.0,0.0,0.0,0.0,0.0,0.0,0,0.37420195177256
AKAP5,-13.405588452502139,1.472148438877281e-36,1.4993381192279736e-35,-0.9717140385967411,-0.3414400580660082,0.537738349288626,13.405588452502139,0.9717140385967411,0.08590400006633003,2.1502840518951416,0.0,0.0,0.0,0.0,0,0.3741641004038946
MAGEF1,-13.095128819259607,1.2764210007366772e-34,1.1136326930378301e-33,-0.9943789836112311,-0.34790002604189374,0.5479122361356672,13.095128819259607,0.9943789836112311,0.12090394696089568,1.541847825050354,0.0,0.0,0.0,0.0,0,0.37410297544792204
MYO5A,-13.382953432299123,1.9868032101141683e-36,2.0010376226185178e-35,-0.9727196721997324,-0.3417284559596353,0.5381925508493178,13.382953432299123,0.9727196721997324,0.11952287065532574,0.0,0.0,0.0,0.0,0.0,0,0.3740861774786334
ACSL4,-13.180898667464557,3.583716640499025e-35,3.272559541520656e-34,-0.9876810265044007,-0.3459996760211881,0.5449193503887713,13.180898667464557,0.9876810265044007,0.14376099586672586,2.6110856533050537,0.0,0.0,0.0,0.0,0,0.37407029887665266
CDK2,12.843238879137635,5.2514676375774645e-33,4.0694796964798657e-32,1.0124727208203512,0.35299706564897515,-0.5559396295238238,12.843238879137635,1.0124727208203512,0.0,0.0,0.0,0.0,0.0,0.0,0,0.3740198352349469
SMAD6,13.234505096301156,1.6161734337782403e-35,1.5175001921486941e-34,0.9831010066403475,0.3446960243630714,-0.5428662125857397,13.234505096301156,0.9831010066403475,0.09725764536923265,2.0110459327697754,0.0,0.0,0.0,0.0,0,0.37400515084872266
REEP5,-13.526525687710764,2.799987412200354e-37,2.9889869073310584e-36,-0.9612566872777216,-0.3384313316126557,0.5329998672087798,13.526525687710764,0.9612566872777216,0.08551428546276596,0.0,0.0,0.0,0.0,0.0,0,0.37400295824388563
PRDX6,13.07112822272838,1.7531868097549446e-34,1.5110824197416535e-33,0.994935908508063,0.3480577082817631,-0.5481605719280712,13.07112822272838,0.994935908508063,0.10657804951230587,0.8758777379989624,0.0,0.0,0.0,0.0,0,0.37396249607777443
