method,validation_auc,weight
ElasticNet,0.9649068345532705,0.1530945362422872
Stability,0.953896053599783,0.14946866912557905
mRMR,0.9303472464273267,0.14171401067537476
RandomForest,0.9258303722422317,0.14022659705346846
XGBoost,0.9244915475775531,0.13978572003055773
MutualInfo,0.9199715428656262,0.13829727552134688
TTest,0.9172868175774241,0.13741319135138585
