Dataset,N,Transformer_AUC,Transformer_AUC_CI_Low,Transformer_AUC_CI_High,SVM_AUC,SVM_AUC_CI_Low,SVM_AUC_CI_High,AUC_Diff_Transformer_minus_SVM,DeLong_P,Transformer_Accuracy,Transformer_Accuracy_CI_Low,Transformer_Accuracy_CI_High,SVM_Accuracy,SVM_Accuracy_CI_Low,SVM_Accuracy_CI_High,Accuracy_Diff_Transformer_minus_SVM,McNemar_P,Discordant_Transformer_Only_Correct,Discordant_SVM_Only_Correct,Transformer_Threshold,SVM_Threshold
Internal_OOF,739,0.9321636705621164,0.9130789949226571,0.9491023520644085,0.9255881718109217,0.905883230689045,0.9427196681468035,0.006575498751194786,0.13908636865725835,0.8755074424898511,0.8525033829499323,0.8985115020297699,0.8497970230040596,0.8227334235453315,0.8741542625169147,0.025710419485791558,0.03514006657909282,46,27,0.24194190118994033,0.6621177654775866
GSE109887,78,0.877038043478261,0.7826366042106497,0.9506197089947089,0.8600543478260869,0.7636351284584979,0.9368292802545919,0.016983695652174058,0.23468479118677255,0.7948717948717948,0.7051282051282052,0.8721153846153828,0.7692307692307693,0.6666666666666666,0.8589743589743589,0.02564102564102555,0.6875,4,2,0.272376372427232,0.3501841054212963
GSE118553,267,0.691437125748503,0.6222020210116905,0.7557865303568053,0.6777844311377246,0.612341446382068,0.7371369984697378,0.013652694610778449,0.5193466812361822,0.6853932584269663,0.6292134831460674,0.7379213483146062,0.6554307116104869,0.5991573033707865,0.7116104868913857,0.029962546816479363,0.3661565601940605,34,26,0.3874018327364538,0.4576885847973373
GSE122063,100,0.8482142857142857,0.7643951136363636,0.9139687147440269,0.8368506493506493,0.7551234920515615,0.909499776085983,0.011363636363636465,0.4255892379411198,0.69,0.6,0.78,0.73,0.64,0.81,-0.040000000000000036,0.125,0,4,0.1576293474685839,0.3000203702204449
GSE48350,220,0.669107142857143,0.5953960758648259,0.7383958535520183,0.6823660714285714,0.6070979026333289,0.7509458375187738,-0.013258928571428408,0.3061129228314412,0.5636363636363636,0.4954545454545455,0.6272727272727273,0.5636363636363636,0.5,0.6272727272727273,0.0,1.0,8,8,0.5975198817454079,0.6268426175799824
