mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_gamma,param_kernel,param_degree,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,split10_test_score,split11_test_score,split12_test_score,split13_test_score,split14_test_score,mean_test_score,std_test_score,rank_test_score,kernel_rank,c_rank,degree_rank,gamma_rank
0.0068511168162028,0.0012595936797916596,0.0033626238505045573,0.0003844423982499454,1.0,0.005,rbf,,"{'C': 1, 'gamma': 0.005, 'kernel': 'rbf'}",0.9259687680740313,0.9411991517254676,0.9275862068965518,0.9452107279693487,0.9269005847953216,0.9300173510699825,0.9371505687295161,0.9386973180076628,0.9555555555555555,0.9111111111111111,0.9211490264121843,0.9438982070561017,0.9277777777777778,0.9450191570881227,0.9333333333333333,0.9340383230401378,0.010935036124951236,1,0,1.0,3.0,0.005
0.007490793863932292,0.00018688096610707466,0.003497044245402018,7.513485373497058e-05,2.0,0.005,rbf,,"{'C': 2, 'gamma': 0.005, 'kernel': 'rbf'}",0.9267399267399267,0.9386928860613071,0.9293103448275862,0.9444444444444445,0.9237816764132554,0.9332947754000385,0.9365721997300944,0.9400383141762452,0.9488505747126438,0.9169590643274854,0.9209562367457103,0.9433198380566802,0.9285440613026821,0.9465517241379311,0.9307992202729044,0.9339236858232625,0.009377998844836647,2,0,2.0,3.0,0.005
0.00774383544921875,0.00015464795280724947,0.0036529382069905598,6.530846544954732e-05,2.0,0.002,rbf,,"{'C': 2, 'gamma': 0.002, 'kernel': 'rbf'}",0.9238480817428186,0.9421631000578369,0.9256704980842912,0.9450191570881227,0.9265107212475634,0.9286678234046655,0.9365721997300944,0.9404214559386974,0.9576628352490422,0.9085769980506824,0.9226913437439753,0.9479467900520532,0.9273946360153258,0.9444444444444445,0.9306042884990253,0.9338796248899094,0.012070793952556884,3,0,2.0,3.0,0.002
0.007327222824096679,0.0005207526415633151,0.003480958938598633,0.0002046619523426098,1.0,0.01,rbf,,"{'C': 1, 'gamma': 0.01, 'kernel': 'rbf'}",0.9269327164064006,0.9411991517254675,0.9296934865900383,0.9411877394636016,0.9259259259259259,0.9325236167341431,0.9398496240601504,0.9371647509578545,0.9450191570881227,0.9187134502923977,0.9221129747445537,0.9415847310584152,0.9243295019157087,0.9486590038314177,0.9323586744639376,0.9338169670172091,0.008748768937308613,4,0,1.0,3.0,0.01
0.007101583480834961,0.0009433294226750234,0.003402233123779297,0.0003028953679797898,5.0,0.001,rbf,,"{'C': 5, 'gamma': 0.001, 'kernel': 'rbf'}",0.923269712743397,0.9406207827260459,0.9275862068965518,0.9452107279693487,0.9237816764132554,0.9313668787352998,0.9346443030653557,0.9417624521072797,0.9557471264367816,0.9101364522417154,0.9213418160786582,0.948139579718527,0.9277777777777778,0.9448275862068966,0.9292397660818714,0.9336968563465841,0.011768905524661932,5,0,5.0,3.0,0.001
0.007145611445109049,0.0011907778412229848,0.0034906546274820964,0.0003736951732972231,0.5,0.01,rbf,,"{'C': 0.5, 'gamma': 0.01, 'kernel': 'rbf'}",0.9257759784075573,0.9417775207248892,0.9264367816091954,0.9436781609195403,0.9259259259259259,0.9290534027376133,0.9394640447272027,0.939463601532567,0.9519157088122605,0.9113060428849903,0.9211490264121843,0.9423558897243108,0.9266283524904215,0.9452107279693487,0.9337231968810916,0.9335909574506065,0.01057325201502299,6,0,0.5,3.0,0.01
0.007583030064900716,0.0009880120837960273,0.0037059783935546875,0.0003192177205722361,0.5,0.005,rbf,,"{'C': 0.5, 'gamma': 0.005, 'kernel': 'rbf'}",0.924619240408714,0.9415847310584152,0.9239463601532568,0.9448275862068966,0.9261208576998051,0.9259687680740312,0.9371505687295161,0.9383141762452107,0.9593869731800767,0.9085769980506824,0.9219201850780798,0.9467900520532099,0.9279693486590038,0.9438697318007663,0.930214424951267,0.9334173334899287,0.0122809122733123,7,0,0.5,3.0,0.005
0.007314443588256836,0.0010946303583490046,0.003631401062011719,0.0003213415503421798,1.0,0.002,rbf,,"{'C': 1, 'gamma': 0.002, 'kernel': 'rbf'}",0.9244264507422402,0.9417775207248892,0.921647509578544,0.9465517241379311,0.9263157894736842,0.9250048197416619,0.9359938307306729,0.9385057471264368,0.960344827586207,0.908187134502924,0.923076923076923,0.9481395797185271,0.9281609195402298,0.943103448275862,0.9282651072124757,0.9333000888112806,0.012776576826462603,8,0,1.0,3.0,0.002
0.007349872589111328,0.0007424320089382312,0.0034842491149902344,0.00024039999637887361,10.0,0.0005,rbf,,"{'C': 10, 'gamma': 0.0005, 'kernel': 'rbf'}",0.9230769230769231,0.940427993059572,0.9262452107279694,0.9444444444444444,0.9222222222222222,0.9307885097358782,0.9331019857335646,0.9413793103448276,0.9549808429118773,0.9087719298245613,0.9219201850780798,0.9485251590514748,0.9275862068965517,0.9442528735632184,0.9292397660818714,0.9331309041835357,0.011903186662355266,9,0,10.0,3.0,0.0005
0.007474056879679362,0.0005099605940291017,0.003448152542114258,7.422083333935948e-05,5.0,0.002,rbf,,"{'C': 5, 'gamma': 0.002, 'kernel': 'rbf'}",0.9234625024098708,0.9363794100636206,0.9293103448275862,0.945977011494253,0.9216374269005848,0.9315596684017737,0.9338731443994601,0.9417624521072797,0.9519157088122605,0.9136452241715398,0.9205706574127628,0.9464044727202622,0.9277777777777778,0.9436781609195403,0.9267056530214426,0.9329773076960011,0.010772223121027415,10,0,5.0,3.0,0.002
