mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_gamma,param_kernel,param_degree,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,split10_test_score,split11_test_score,split12_test_score,split13_test_score,split14_test_score,mean_test_score,std_test_score,rank_test_score,kernel_rank,c_rank,degree_rank,gamma_rank,original_rank
0.007584190368652344,0.0009305424213218172,0.0032489935557047525,0.0002638704194277899,10.0,0.005,rbf,,"{'C': 10, 'gamma': 0.005, 'kernel': 'rbf'}",0.9244264507422403,0.9286678234046655,0.9369731800766284,0.936015325670498,0.9226120857699804,0.9273182957393483,0.9373433583959899,0.9325670498084291,0.9354406130268199,0.9239766081871345,0.9188355504144977,0.9383073067283593,0.924712643678161,0.9444444444444444,0.9282651072124756,0.9306603895533115,0.006988276130663232,24,0,10.0,3.0,0.005,24
0.008361021677652994,0.00017177085270168654,0.0033580780029296873,6.9278012043453e-05,10.0,0.01,rbf,,"{'C': 10, 'gamma': 0.01, 'kernel': 'rbf'}",0.92789666473877,0.9250048197416618,0.9367816091954023,0.9365900383141762,0.92046783625731,0.9271255060728746,0.9375361480624639,0.9314176245210728,0.9289272030651341,0.9226120857699804,0.9205706574127627,0.9371505687295161,0.9193486590038314,0.9436781609195403,0.9311890838206627,0.9297531110416772,0.007181182748420117,32,0,10.0,3.0,0.01,32
0.008320188522338868,0.0006582133989627821,0.0033191998799641928,0.00010112566370250046,20.0,0.005,rbf,,"{'C': 20, 'gamma': 0.005, 'kernel': 'rbf'}",0.9261615577405051,0.9244264507422402,0.9371647509578545,0.9365900383141762,0.919103313840156,0.926354347406979,0.939078465394255,0.9289272030651341,0.9335249042145595,0.9263157894736842,0.9186427607480239,0.9385000963948333,0.9218390804597701,0.9425287356321839,0.9263157894736842,0.9296982189238692,0.0073899587916792225,33,0,20.0,3.0,0.005,33
0.006725104649861654,0.001353581011603081,0.00301820437113444,0.00036996964586008844,5.0,0.01,rbf,,"{'C': 5, 'gamma': 0.01, 'kernel': 'rbf'}",0.9240408714092925,0.9286678234046656,0.9379310344827586,0.9335249042145595,0.9216374269005847,0.9307885097358781,0.9400424137266242,0.9346743295019156,0.9325670498084292,0.9261208576998051,0.9196067090803933,0.9410063620589937,0.9206896551724137,0.9442528735632184,0.9307992202729045,0.9310900027354959,0.0074355365318847025,20,0,5.0,3.0,0.01,20
0.007078774770100911,0.0010612287111626075,0.003270228703816732,0.00030860102046807036,5.0,0.005,rbf,,"{'C': 5, 'gamma': 0.005, 'kernel': 'rbf'}",0.9275110854058222,0.9359938307306729,0.9344827586206896,0.9367816091954023,0.9185185185185185,0.926354347406979,0.9354154617312513,0.9371647509578545,0.9400383141762453,0.9224171539961015,0.9197994987468672,0.9408135723925198,0.9295019157088124,0.9454022988505748,0.9315789473684211,0.9321182709204489,0.007685045689205809,14,0,5.0,3.0,0.005,14
0.007569138209025065,0.0005372733662183688,0.003367710113525391,0.00022243420514557826,2.0,0.01,rbf,,"{'C': 2, 'gamma': 0.01, 'kernel': 'rbf'}",0.9269327164064007,0.9375361480624639,0.9362068965517242,0.936015325670498,0.9214424951267056,0.9300173510699826,0.9402352033930982,0.9404214559386973,0.9379310344827586,0.9233918128654972,0.919992288413341,0.9396568343936765,0.9233716475095786,0.9478927203065135,0.9333333333333335,0.9329584842349512,0.008047331430372512,11,0,2.0,3.0,0.01,11
0.006778160730997722,0.0013632646419376592,0.00298612912495931,0.00036014845315403434,20.0,0.002,rbf,,"{'C': 20, 'gamma': 0.002, 'kernel': 'rbf'}",0.9238480817428186,0.9302101407364566,0.9348659003831418,0.9358237547892719,0.9136452241715399,0.9209562367457104,0.9305957200694043,0.9342911877394635,0.9396551724137931,0.9196881091617933,0.9178716020821284,0.9406207827260459,0.9308429118773947,0.942528735632184,0.9261208576998051,0.9294376278647303,0.008528231231309894,36,0,20.0,3.0,0.002,36
0.007773160934448242,0.0016168273817265056,0.0030442237854003905,0.0003997203988939756,20.0,0.01,rbf,,"{'C': 20, 'gamma': 0.01, 'kernel': 'rbf'}",0.9288606130711394,0.9197994987468672,0.9367816091954023,0.9383141762452107,0.9105263157894737,0.9196067090803933,0.9346443030653556,0.9342911877394636,0.928544061302682,0.9245614035087719,0.9176788124156545,0.9290534027376133,0.9203065134099617,0.9406130268199233,0.9372319688109162,0.9280542401292553,0.008695632485406073,41,0,20.0,3.0,0.01,41
0.007327222824096679,0.0005207526415633151,0.003480958938598633,0.0002046619523426098,1.0,0.01,rbf,,"{'C': 1, 'gamma': 0.01, 'kernel': 'rbf'}",0.9269327164064006,0.9411991517254675,0.9296934865900383,0.9411877394636016,0.9259259259259259,0.9325236167341431,0.9398496240601504,0.9371647509578545,0.9450191570881227,0.9187134502923977,0.9221129747445537,0.9415847310584152,0.9243295019157087,0.9486590038314177,0.9323586744639376,0.9338169670172091,0.008748768937308613,4,0,1.0,3.0,0.01,4
0.007490793863932292,0.00018688096610707466,0.003497044245402018,7.513485373497058e-05,2.0,0.005,rbf,,"{'C': 2, 'gamma': 0.005, 'kernel': 'rbf'}",0.9267399267399267,0.9386928860613071,0.9293103448275862,0.9444444444444445,0.9237816764132554,0.9332947754000385,0.9365721997300944,0.9400383141762452,0.9488505747126438,0.9169590643274854,0.9209562367457103,0.9433198380566802,0.9285440613026821,0.9465517241379311,0.9307992202729044,0.9339236858232625,0.009377998844836647,2,0,2.0,3.0,0.005,2
